event-id,visible,timestamp,location-long,location-lat,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
24893419911,true,2019-03-29 16:01:00.000,-72.9431172,41.9781514,"gps","Ursus americanus","0_3","0_3","American black bear movement ecology in Connecticut"
24893419926,true,2019-03-29 17:01:00.000,-72.9430731,41.9780678,"gps","Ursus americanus","0_3","0_3","American black bear movement ecology in Connecticut"
24893419935,true,2019-03-29 18:00:00.000,-72.9437556,41.9770639,"gps","Ursus americanus","0_3","0_3","American black bear movement ecology in Connecticut"
24893419980,true,2019-03-29 21:01:00.000,-72.9436975,41.9768261,"gps","Ursus americanus","0_3","0_3","American black bear movement ecology in Connecticut"
24893419996,true,2019-03-29 22:01:00.000,-72.9436783,41.9769628,"gps","Ursus americanus","0_3","0_3","American black bear movement ecology in Connecticut"
24893420011,true,2019-03-29 23:01:00.000,-72.9441175,41.9777256,"gps","Ursus americanus","0_3","0_3","American black bear movement ecology in Connecticut"
24893420025,true,2019-03-30 00:01:00.000,-72.9439894,41.977505,"gps","Ursus americanus","0_3","0_3","American black bear movement ecology in Connecticut"
24893420036,true,2019-03-30 01:01:00.000,-72.9440578,41.9774681,"gps","Ursus americanus","0_3","0_3","American black bear movement ecology in Connecticut"
24893420048,true,2019-03-30 02:01:00.000,-72.9439964,41.9776622,"gps","Ursus americanus","0_3","0_3","American black bear movement ecology in Connecticut"
24893420069,true,2019-03-30 03:02:00.000,-72.9441228,41.9774872,"gps","Ursus americanus","0_3","0_3","American black bear movement ecology in Connecticut"
24893420075,true,2019-03-30 04:01:00.000,-72.9440942,41.9776006,"gps","Ursus americanus","0_3","0_3","American black bear movement ecology in Connecticut"
24893420085,true,2019-03-30 05:01:00.000,-72.9441744,41.9773156,"gps","Ursus americanus","0_3","0_3","American black bear movement ecology in Connecticut"
24893420091,true,2019-03-30 06:00:00.000,-72.9442692,41.9772464,"gps","Ursus americanus","0_3","0_3","American black bear movement ecology in Connecticut"
24893420108,true,2019-03-30 07:01:00.000,-72.9442122,41.9773972,"gps","Ursus americanus","0_3","0_3","American black bear movement ecology in Connecticut"
24893420115,true,2019-03-30 08:00:00.000,-72.9441344,41.9776817,"gps","Ursus americanus","0_3","0_3","American black bear movement ecology in Connecticut"
24893420129,true,2019-03-30 09:01:00.000,-72.9441558,41.9775719,"gps","Ursus americanus","0_3","0_3","American black bear movement ecology in Connecticut"
24893420141,true,2019-03-30 10:01:00.000,-72.9442106,41.9774769,"gps","Ursus americanus","0_3","0_3","American black bear movement ecology in Connecticut"
24893420155,true,2019-03-30 11:01:00.000,-72.9442147,41.9781081,"gps","Ursus americanus","0_3","0_3","American black bear movement ecology in Connecticut"
24893420167,true,2019-03-30 12:01:00.000,-72.9441017,41.9782772,"gps","Ursus americanus","0_3","0_3","American black bear movement ecology in Connecticut"
24893420178,true,2019-03-30 13:00:00.000,-72.9441453,41.9781197,"gps","Ursus americanus","0_3","0_3","American black bear movement ecology in Connecticut"
24893420190,true,2019-03-30 14:00:00.000,-72.9440431,41.9782736,"gps","Ursus americanus","0_3","0_3","American black bear movement ecology in Connecticut"
24893420204,true,2019-03-30 15:00:00.000,-72.9446681,41.9782403,"gps","Ursus americanus","0_3","0_3","American black bear movement ecology in Connecticut"
24893420217,true,2019-03-30 16:00:00.000,-72.9444089,41.9785333,"gps","Ursus americanus","0_3","0_3","American black bear movement ecology in Connecticut"
24893420232,true,2019-03-30 17:01:00.000,-72.9446106,41.9783644,"gps","Ursus americanus","0_3","0_3","American black bear movement ecology in Connecticut"
